"Freq [GHz]","substrateThickness [mm]","stripWidth [um]","dB(S(1,2)) []"
3.06122448979592,0.075,417.480107973605,-0.308833707619507
3.06122448979592,0.075,417.508807848341,-0.311590794022526
3.06122448979592,0.075,418.1478473107,-0.297148726161274
3.06122448979592,0.075,418.171310885233,-0.308641742366923
3.06122448979592,0.075,418.236708035871,-0.346845733740316
3.06122448979592,0.075,418.245105725659,-0.379392629073676
3.06122448979592,0.075,418.265613059069,-0.288248521276433
3.06122448979592,0.075,418.268201996968,-0.344237599116637
3.06122448979592,0.075,418.320684933751,-0.340372871117548
3.06122448979592,0.075,418.334942247673,-0.372420540731836
3.06122448979592,0.075,418.358077574831,-0.338193585359112
3.06122448979592,0.075,418.498735524361,-0.370500859947402
3.06122448979592,0.075,418.503912692486,-0.334650097304182
3.06122448979592,0.075,419.211061745681,-0.295237608907489
3.06122448979592,0.075,419.440024486627,-0.327405130651827
3.06122448979592,0.075,419.641023833582,-0.338646691348395
3.06122448979592,0.075,420.578905442598,-0.36894495958247
3.06122448979592,0.075,420.743819807329,-0.348733309754274
3.06122448979592,0.075,420.780748521747,-0.337831719103276
3.06122448979592,0.075,423.847591842229,-0.356096922823963
3.06122448979592,0.075,423.872121086329,-0.344488852200044
3.06122448979592,0.075,426.259365481857,-0.32432547662225
3.06122448979592,0.075,434.376298451301,-0.375638223104901
3.14285714285714,0.075,398.736708035871,-0.308290478211067
3.14285714285714,0.075,409.352794016234,-0.322875568242107
3.14285714285714,0.075,410.580366223675,-0.357401887750002
3.14285714285714,0.075,410.793932859758,-0.295742308748894
3.14285714285714,0.075,412.601294985413,-0.325144795548725
3.14285714285714,0.075,412.625824229513,-0.323547205090854
3.14285714285714,0.075,414.876298451301,-0.305496018088499
3.14285714285714,0.075,415.461841294666,-0.331197088592413
3.14285714285714,0.075,415.894510629143,-0.352826850925941
3.14285714285714,0.075,416.83239223816,-0.346288640923771
3.14285714285714,0.075,417.45180349737,-0.365722314034357
3.14285714285714,0.075,417.480107973605,-0.321231810974821
3.14285714285714,0.075,417.508807848341,-0.32402684508691
3.14285714285714,0.075,418.1478473107,-0.308975048649718
3.14285714285714,0.075,418.171310885233,-0.32097830981315
3.14285714285714,0.075,418.236708035871,-0.360488385357026
3.14285714285714,0.075,418.245105725659,-0.394459900081213
3.14285714285714,0.075,418.265613059069,-0.299621073747809
3.14285714285714,0.075,418.268201996968,-0.358009790550601
3.14285714285714,0.075,418.320684933751,-0.35398290652285
3.14285714285714,0.075,418.334942247673,-0.387299011409957
3.14285714285714,0.075,418.358077574831,-0.351886527780486
3.14285714285714,0.075,418.498735524361,-0.385357359610795
3.14285714285714,0.075,418.503912692486,-0.347873390925812
3.14285714285714,0.075,419.211061745681,-0.306972320764535
3.14285714285714,0.075,419.440024486627,-0.340597330818447
